method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx,recovery_version,benchmark_layer
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,165,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,166,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,167,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,168,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,169,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,170,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,171,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,172,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,173,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,174,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,175,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,176,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,177,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,178,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,179,v3,B3
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.23566173993300005,50,0.05069567263126373,1.423406720161438,1.0,0.0,180,none,B1
sac_her,sensor_bias,0,0.1,-50.0,0.0,0.5497484218501606,50,0.09203783422708511,0.8219759464263916,1.0,0.0,181,none,B1
